Tanggal,Target Vaksinasi,Vaksinasi 1,Vaksinasi 2,Persentase 1,Persentase 2
17 December 2021,8941211,11259404,9197397,1.25927058426426,1.0286522709284
18 December 2021,8941211,11307430,9206759,1.26464189246848,1.02969933267429
19 December 2021,8941211,11311859,9209182,1.26513723923974,1.02997032504881
20 December 2021,8941211,11312501,9209577,1.26520904159403,1.03001450250978
21 December 2021,8941211,11371481,9218755,1.27180546348811,1.03104098538777
22 December 2021,10083716,11400043,9225946,1.13053987240418,0.914935129073449
23 December 2021,10083716,11476464,9236998,1.13811852693987,0.916031153594568
24 December 2021,10083716,11539922,9246999,1.1444116434854,0.917022950666203
25 December 2021,10083716,11600221,9255709,1.15039148266373,0.91788671953871
26 December 2021,10083716,11602254,9256405,1.15059309484718,0.917955741712678
27 December 2021,10083716,11604655,9257661,1.15083120151341,0.91808029896915
28 December 2021,10083716,11640260,9267497,1.15436214189293,0.919055733025404
29 December 2021,10083716,11702596,9277725,1.16054398993387,0.920070041639412
30 December 2021,10083716,11745221,9287054,1.16477110224048,0.920995196612043
31 December 2021,10083716,11788571,9296068,1.16907011264498,0.921889113100766
1 January 2022,10083716,11819312,9303478,1.17211869116504,0.922623961246033
2 January 2022,10083716,11820716,9304018,1.17225792555046,0.922677512932732
3 January 2022,10083716,11822311,9304291,1.17241610136581,0.922704586285453
4 January 2022,10083716,11847737,9310502,1.17493759245104,0.923320529852289
5 January 2022,10083716,11872888,9312122,1.17743181184397,0.923481184912387
6 January 2022,10083716,11903113,9322397,1.18042921875229,0.924500154506533
7 January 2022,10083716,11929959,9328424,1.18309153093959,0.925097850831975
8 January 2022,10083716,11954112,9334597,1.18548677888191,0.925710025946784
9 January 2022,10083716,11962482,9336308,1.18631683002576,0.92587970545779
10 January 2022,10083716,11968170,9337035,1.18688090779233,0.925951801895254
11 January 2022,10083716,11988555,9342817,1.18890248396524,0.9265252016221
12 January 2022,10083716,11989459,9343014,1.18899213345556,0.926544738070767
13 January 2022,10083716,12026344,9355732,1.19265001116652,0.927805979462333
14 January 2022,10083716,12041064,9362346,1.19410979047803,0.928461888454613
15 January 2022,10083716,12053033,9369114,1.19529675369675,0.929133069594582
16 January 2022,10083716,12057973,9458923,1.19578665246026,0.938039409281261
17 January 2022,10083716,12063008,9463219,1.19628597235384,0.938465442699894
18 January 2022,10083716,12071250,9508040,1.19710332976454,0.942910331865753
19 January 2022,10083716,12078484,9559891,1.19782072402674,0.948052384656609
20 January 2022,10083716,12085429,9611229,1.19850945821957,0.9531435633451
21 January 2022,10083716,12092990,9664524,1.19925928100315,0.958428817312983
22 January 2022,10083716,12099328,9706064,1.19988781913334,0.962548330397246
23 January 2022,10083716,12100952,9709016,1.2000488708726,0.962841079617871
24 January 2022,10083716,12101375,9709531,1.20009081969385,0.962892152059816
25 January 2022,10083716,12107819,9754957,1.2007298698218,0.967397038948737
26 January 2022,10083716,12113564,9796371,1.20129960026641,0.971504056639437
27 January 2022,10083716,12118875,9834707,1.20182629102208,0.97530582971595
28 January 2022,10083716,12124108,9871519,1.20234524653412,0.978956468032222
29 January 2022,10083716,12127363,9894471,1.20266804420117,0.981232613056536
30 January 2022,10083716,12130170,9906127,1.20294641380221,0.982388536130926
31 January 2022,10083716,12130271,9906270,1.20295642995102,0.982402717410923
1 February 2022,10083716,12134752,9932732,1.20340080978084,0.985026948398785
2 February 2022,10083716,12135135,9933574,1.20343879181048,0.98511044936212
3 February 2022,10083716,12138004,9959249,1.20372330993852,0.987656633725107
4 February 2022,10083716,12142828,9985891,1.20420170500637,0.990298715275202
5 February 2022,10083716,12146358,10009453,1.20455177436572,0.992635353871529
6 February 2022,10083716,12147515,10013085,1.20466651381296,0.992995538549479
7 February 2022,10083716,12147669,10013120,1.20468178596065,0.992999009492136
8 February 2022,10083716,12150747,10036334,1.20498703057484,0.995301137001478
9 February 2022,10083716,12153194,10053732,1.20522969905142,0.997026493011108
10 February 2022,10083716,12156207,10072280,1.20552849762925,0.99886589427945
11 February 2022,10083716,12159064,10089876,1.2058118257198,1.00061088590754
12 February 2022,10083716,12161039,10104802,1.20600768605542,1.00209109419583
13 February 2022,10083716,12162214,10108332,1.20612421055889,1.00244116355518
14 February 2022,10083716,12162485,10109346,1.20615108557203,1.00254172172243
15 February 2022,10083716,12164946,10119792,1.20639514242567,1.0035776493507
16 February 2022,10083716,12167624,10131587,1.20666071912378,1.00474735702592
17 February 2022,10083716,12170022,10142313,1.20689852828065,1.00581105219544
18 February 2022,10083716,12391908,10367984,1.22890291634552,1.02819079791617
19 February 2022,10083716,12394090,10377325,1.2291193048277,1.02911714292628
20 February 2022,10083716,12394778,10378182,1.22918753364335,1.02920213143647
21 February 2022,10083716,12395035,10378368,1.22921302027943,1.02922057701744
22 February 2022,10083716,12396743,10386614,1.22938240228106,1.0300383311073
23 February 2022,10083716,12399443,10396049,1.22965016071456,1.03097399807769
24 February 2022,10083716,12401510,10404221,1.22985514467087,1.03178441360308
25 February 2022,10083716,12403549,10413067,1.23005735187306,1.03266166956705
26 February 2022,10083716,12404990,10420089,1.23020025554072,1.03335803983373
27 February 2022,10083716,12405011,10420104,1.23020233810631,1.03335952738058
28 February 2022,10083716,12405463,10420732,1.23024716285147,1.03342180600882
1 March 2022,10083716,12406661,10424251,1.23036596826011,1.03377078450048
2 March 2022,10083716,12406698,10424353,1.23036963754235,1.03378089981907
3 March 2022,10083716,12409123,10434874,1.23061012428355,1.03482426518161
4 March 2022,10083716,12411824,10435541,1.23087798188684,1.03489041143166
5 March 2022,10083716,12414086,10441462,1.23110230395223,1.03547759575934
6 March 2022,10083716,12414664,10441462,1.23115962409096,1.03547759575934
7 March 2022,10083716,12414916,10441462,1.23118461487809,1.03547759575934
8 March 2022,10083716,12416768,10443986,1.23136827732951,1.03572790030977
9 March 2022,10083716,12417722,10450279,1.23146288530934,1.0363519757994
10 March 2022,10083716,12418665,10456523,1.23155640242149,1.03697119196931
11 March 2022,10083716,12423336,10460897,1.23201962451144,1.03740496063158
12 March 2022,10083716,12425665,10465564,1.23225059095278,1.03786778604237
13 March 2022,10083716,12427750,10478830,1.23245735996531,1.03918337247896
14 March 2022,10083716,12428514,10479365,1.23253312568502,1.0392364283167
15 March 2022,10083716,12428514,10480569,1.23253312568502,1.03935582874409
16 March 2022,10083716,12436744,10486688,1.23334929305823,1.03996264869023
17 March 2022,10083716,12439851,10491299,1.23365741359634,1.04041992059277
18 March 2022,10083716,12442587,10496801,1.23392874214228,1.04096555277836
19 March 2022,10083716,12444623,10499020,1.2341306518351,1.04118561054278
20 March 2022,10083716,12445847,10499531,1.23425203565828,1.04123628630556
21 March 2022,10083716,12445847,10499873,1.23425203565828,1.04127020237381
22 March 2022,10083716,12451169,10520894,1.23477981728164,1.04335485053328
23 March 2022,10083716,12452352,10524130,1.23489713514343,1.04367576397431
24 March 2022,10083716,12453118,10525004,1.23497309920271,1.04376243837093
25 March 2022,10083716,12453118,10526369,1.23497309920271,1.04389780513454
26 March 2022,10083716,12453118,10540092,1.23497309920271,1.04525871216524
27 March 2022,10083716,12453118,10541443,1.23497309920271,1.04539269055178
28 March 2022,10083716,12454392,10543014,1.23509944151541,1.04554848629216
29 March 2022,10083716,12459254,10551740,1.23558160503529,1.04641384188131
30 March 2022,10083716,12468209,10558000,1.23646967050639,1.04703464476786
31 March 2022,10083716,12471444,10562971,1.23679048477764,1.04752761779487
